;;31.01.2021;;06.02.2021;;13.02.2021;;14.02.2021 - 20.02.2021;;21.02.2021;;22.02.2021 - 26.02.2021;;27.02.2021;;28.02.2021 - 05.03.2021;;06.03.2021;;07.03.2021 - 12.03.2021;;13.02.2021 - 12.03.2021;;Info;13.03.2021;13.03.2021;14.03.2021 - 20.03.2021;14.03.2021 - 20.03.2021;21.03.2021;21.03.2021;22.03.2021 - 27.03.2021;22.03.2021 - 27.03.2021;28.03.2021;28.03.2021;29.03.2021 - 03.04.2021;29.03.2021 - 03.04.2021;04.04.2021;04.04.2021;05.04.2021 - 10.04.2021;05.04.2021 - 10.04.2021;13.03.2021 - 10.04.2021;;Info;11.04.2021;11.04.2021;12.04.2021 - 16.04.2021;12.04.2021 - 16.04.2021;17.04.2021;17.04.2021;18.04.2021 - 24.04.2021;18.04.2021 - 24.04.2021;25.04.2021;25.04.2021;26.04.2021 - 01.05.2021;26.04.2021 - 01.05.2021;02.05.2021;02.05.2021;03.05.2021 - 08.05.2021;03.05.2021 - 08.05.2021;11.04.2021 - 08.05.2021;;Info;09.05.2021;09.05.2021;10.05.2021 - 15.05.2021;10.05.2021 - 15.05.2021;16.05.2021;16.05.2021;17.05.2021 - 22.05.2021;17.05.2021 - 22.05.2021;23.05.2021;23.05.2021;24.05.2021 - 29.05.2021;;30.05.2021;;31.05.2021 - 05.06.2021;;09.05.2021 - 05.06.2021;;Info;06.06.2021;;07.06.2021 - 12.06.2021;;13.06.2021;;14.06.2021 - 19.06.2021;;20.06.2021;;21.06.2021 - 26.06.2021;;27.06.2021;;28.06.2021 - 03.07.2021;;06.06.2021 - 03.07.2021;;Info;04.07.2021;;05.07.2021 - 10.07.2021;;11.07.2021;;12.07.2021 - 17.07.2021;;18.07.2021;;19.07.2021 - 23.07.2021;;24.07.2021;;25.07.2021 - 31.07.2021;;04.07.2021 - 31.07.2021;;Info;01.08.2021;;02.08.2021 - 07.08.2021;;08.08.2021;;09.08.2021 - 13.08.2021;;14.08.2021;;15.08.2021 - 20.08.2021;;21.08.2021;;22.08.2021 - 28.08.2021;;01.08.2021 - 28.08.2021;;Info;29.08.2021;;30.08.2021 - 04.09.2021;;05.09.2021;;06.09.2021 - 11.09.2021;;12.09.2021;;13.09.2021 - 17.09.2021;;18.09.2021;;19.09.2021 - 25.09.2021;;29.08.2021 - 25.09.2021;;Info;26.09.2021;;27.09.2021 - 02.10.2021;;03.10.2021;;04.10.2021 - 09.10.2021;;10.10.2021;;11.10.2021 - 15.10.2021;;16.10.2021;;17.10.2021 - 23.10.2021;;26.09.2021 - 23.10.2021;;Info;24.10.2021;;25.10.2021 - 29.10.2021;;30.10.2021;;31.10.2021 - 04.11.2021;;05.11.2021;;06.11.2021 - 13.11.2021;;14.11.2021;;15.11.2021 - 19.11.2021;;24.10.2021 - 19.11.2021;;Info;20.11.2021;;21.11.2021 - 27.11.2021;;28.11.2021;;29.11.2021 - 03.12.2021;;04.12.2021;;05.12.2021 - 11.12.2021;;12.12.2021;;13.12.2021 - 17.12.2021;;20.11.2021 - 17.12.2021;;Info;18.12.2021;;19.12.2021 - 25.12.2021;;26.12.2021;;27.12.2021 - 02.01.2022;;03.01.2022;;04.01.2022 - 08.01.2022;;09.01.2022;;10.01.2022 - 14.01.2022;;18.12.2021 - 14.01.2022;;Info;15.01.2022;;16.01.2022 - 22.01.2022;;23.01.2022;;24.01.2022 - 28.01.2022;;29.01.2022;;30.01.2022 - 04.02.2022;;05.02.2022;;06.02.2022 - 11.02.2022;;15.01.2022 - 11.02.2022;;Info;12.02.2022;;13.02.2022 - 18.02.2022;;19.02.2022;;20.02.2022 - 25.02.2022;;26.02.2022;;27.02.2022 - 06.03.2022;;07.03.2022;;08.03.2022 - 12.03.2022;;12.02.2022 - 12.03.2022;;Info;13.03.2022;;14.03.2022 - 19.03.2022;;20.03.2022;;21.03.2022 - 26.03.2022;;27.03.2022;;28.03.2022 - 01.04.2022;;02.04.2022;;03.04.2022 - 09.04.2022;;13.03.2022 - 09.04.2022;;Info;10.04.2022;;11.04.2022 - 16.04.2022;;17.04.2022;;18.04.2022 - 23.04.2022;;24.04.2022;;25.04.2022 - 01.05.2022;;02.05.2022;;03.05.2022 - 08.05.2022;;10.04.2022 - 08.05.2022;;Info;09.05.2022;;10.05.2022 - 14.05.2022;;15.05.2022;;16.05.2022 - 21.05.2022;;22.05.2022;;23.05.2022 - 27.05.2022;;28.05.2022;;29.05.2022 - 03.06.2022;;09.05.2022 - 03.06.2022;;Info;04.06.2022;;05.06.2022 - 12.06.2022;;13.06.2022;;14.06.2022 - 17.06.2022;;18.06.2022;;19.06.2022 - 25.06.2022;;26.06.2022;;27.06.2022 - 01.07.2022;;09.05.2022 - 03.06.2022;;Info;04.06.2021 - 01.07.2022;;Info
Общая категория;Подкатегория;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;Цена;Шт./ кг/ л;;Цена;Шт./ кг/ л;
Молочные продукты;Актимель;;;;;;;;;;;;;;;;;;;;;0,00;0;Макс. ;29,99;0,100;;;;;;;;;;;;;;;29,99;0,100;Макс. ;;;;;;;;;;;;;;;;;0,00;0,000;Макс. ;;;;;;;;;;;;;;;;;0,00;0,000;Макс. ;;;;;;;;;;;;;;;;;0,00;0,000;Макс. ;;;;;;;;;;;;;;;;;0,00;0,000;Макс. ;;;;;;;;;;;;;;;;;0,00;0,000;Макс. ;;;;;;;;;;;;;;;;;0,00;0,000;Макс. ;;;;;;;;;;;;;;;;;0,00;0,000;Макс. ;;;;;;;;;;;;;;;;;0,00;0,000;Макс. ;;;;;;;;;;;;;;;;;0,00;0,000;Макс. ;;;;;;;;;;;;;;;;;0,00;0,000;Макс. ;;;;;;;;;;;;;;;;;0,00;0,000;Макс. ;;;18,99;0,095;;;;;;;;;;;;;18,99;0,095;Макс. ;;;;;;;;;;;;;;;;;0,00;0,000;Макс. ;;;;;;;;;;;;;;;;;0,00;0,000;Макс. ;;;;;;;;;;;;;;;;;0,00;0,000;Макс. ;;;;;;;;;;;;;;;;;0,00;0,000;Макс. ;48,98;0,195;Макс. 
;Сырники, запеканки;;;;;;;;;;;;;;;;;;;;;0,00;0;Сыр (весовой) ;;;;;;;;;;;;;;;;;0,00;0,000;Сыр (весовой) ;;;;;;;;;;;;;;;;;0,00;0,000;Сыр (весовой) ;;;;;;;;;;;;;;;;;0,00;0,000;Сыр (весовой) ;;;;;;;;;;;169,27;0,318;;;163,69;0,316;332,96;0,634;Сыр (весовой) ;;;;;;;;;;;;;;;410,34;0,781;410,34;0,781;Сыр (весовой) ;;;;;;;;;;;;;;;;;0,00;0,000;Сыр (весовой) ;;;;;;;;;;;;;;;;;0,00;0,000;Сыр (весовой) ;;;;;;;;;;;;;;;;;0,00;0,000;Сыр (весовой) ;;;;;;;354,00;0,350;;;;;;;;;354,00;0,350;Сыр (весовой) ;;;;;;;;;;;;;;;;;0,00;0,000;Сыр (весовой) ;;;;;;;;;;;;;;;176,80;0,340;176,80;0,340;Сыр (весовой) ;;;;;;;;;;;;;;;;;0,00;0,000;Творог;;;176,80;0,340;;;148,00;0,220;;;;;;;;;324,80;0,560;Сыр (весовой) ;;;;;;;;;;;;;;;;;0,00;0,000;Творог;;;;;;;;;;;;;;;;;0,00;0,000;Творог;;;;;;;120,00;0,170;;;191,75;0,325;;;;;311,75;0,495;Сыр (весовой) ;;;;;;;;;;;;;;;;;0,00;0,000;Творог;1 910,65;3,160;Сыр (весовой) 
;Иммуноцея, варенец, ацидофилин;;;;;;;;;;;;;;;;;;;;;0,00;0;;46,99;0,450;;;;;;;;;;;;;;;46,99;0,450;;;;;;;;;;;;;;;;46,99;0,450;46,99;0,450;;;;;;;;;;;;;;46,99;0,450;;;46,99;0,450;;46,99;0,450;;;46,99;0,450;;;42,40;0,450;;;;;;;136,38;1,350;;;;;;46,99;0,450;;;;;;;;;;;46,99;0,450;;46,99;0,450;;;44,16;0,450;;;;;;;;;;;91,15;0,900;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;46,99;0,450;;;;;;;;;;;;;;;46,99;0,450;;48,99;0,450;39,41;0,500;;;46,00;0,500;42,99;0,450;46,00;0,500;;;46,00;0,500;269,39;2,900;;48,69;0,450;46,00;0,500;;;;;;;;;;;;;94,69;0,950;;;;46,00;0,500;;;46,00;0,500;46,00;0,500;46,00;0,500;;;54,00;0,500;238,00;2,500;;;;;;;;46,00;0,500;;;;;54,00;0,500;79,00;0,300;179,00;1,300;;;;54,00;0,500;;;;;;;109,10;0,950;;;72,18;1,000;235,28;2,450;;;;;;;;;;;;38,52;0,500;44,99;0,350;46,00;0,500;129,51;1,350;;44,99;0,350;46,00;0,500;44,03;0,350;130,38;1,000;;;204,00;1,500;44,99;0,350;60,00;0,500;574,39;4,550;;44,99;0,350;120,00;1,000;44,99;0,350;60,00;0,500;;;48,28;1,000;36,99;0,350;52,00;0,500;407,25;4,050;;2 589,99;24,550;
;Йогурт;89,98;2;193,16;4;;;130,66;5;;;136,19;6;322,25;7;212,96;9;99,80;2;88,00;4;989,86;33;;389,74;8;32,90;1;104,89;2;36,00;1;64,99;1;314,99;8;;;44,00;2;987,51;23;;234,45;5;;;210,77;5;;;132,97;3;88,90;3;195,97;3;;;863,06;19;;390,96;9;147,90;5;;;22,00;1;214,96;4;44,00;2;204,77;5;116,60;2;1 141,19;28;;135,79;3;38,99;1;149,97;3;203,80;5;144,98;3;;;158,96;4;263,20;6;1 095,69;25;;130,89;3;;;;;163,30;5;300,85;6;158,24;4;185,69;4;;;938,97;22;;;;102,80;2;276,16;6;;;199,96;4;44,90;1;253,96;4;210,78;5;1 088,56;22;;325,94;6;32,00;1;285,42;6;54,90;1;149,50;5;64,39;2;240,95;5;112,89;3;1 265,99;29;;222,96;4;62,90;1;214,45;5;396,73;9;48,29;1;;;89,28;2;;;1 034,61;22;;272,95;5;131,80;2;129,98;2;205,87;4;139,97;3;92,98;2;128,15;3;;;1 101,70;21,000;;199,50;5;;;306,98;7;334,93;7;;;43,90;1;;;299,30;7;1 184,61;27;;262,01;5;;;250,02;4;;;;;;;219,96;4;98,21;2;830,20;15,000;;319,94;6;58,00;1;221,70;4;;;;;79,80;2;;;42,90;1;722,34;14,000;;218,78;4;93,88;2;;;;;49,90;1;183,51;6;;;127,90;2;673,97;15,000;;;;152,78;4;;;45,90;1;194,97;3;93,98;2;138,97;3;111,98;2;738,58;15,000;;;;254,40;5;;;71,99;1;83,42;2;50,24;2;;;186,98;4;647,03;14,000;;;;60,00;2;73,38;1;112,98;2;;;30,00;1;;;62,99;1;339,35;7,000;;176,97;3;67,00;1;132,49;2;;;172,97;3;49,99;1;;;119,98;2;719,40;12,000;;16 362,62;363,000;
;Кефир;;;;;;;154,70;2,200;;;84,43;1,500;;;117,90;2,000;;;83,50;1,400;440,53;7,100;;;;55,00;1,000;;;31,00;0,500;;;62,00;1,000;;;28,99;0,250;176,99;2,750;;;;;;;;;;;;;;;;65,80;0,500;65,80;0,500;;;;62,00;1,000;79,88;1,000;138,89;1,850;;;145,90;2,250;;;;;426,67;6,100;;;;35,00;0,500;;;272,79;3,500;;;254,90;4,000;;;124,90;1,900;687,59;9,900;;36,99;0,400;118,44;2,750;;;154,25;2,250;75,99;0,930;130,90;1,750;36,99;0,400;166,89;2,430;720,45;10,910;;;;128,00;2,000;;;154,88;2,450;;;132,80;1,650;64,00;1,000;133,80;1,780;613,48;8,880;;;;131,90;2,000;;;62,49;0,900;;;79,89;1,400;;;153,89;2,330;428,17;6,630;;;;99,00;1,500;;;;;34,84;0,430;115,37;2,000;;;127,90;1,750;377,11;5,680;;;;205,60;2,300;;;84,26;1,300;;;98,80;1,380;;;140,90;1,900;529,56;6,880;;;;58,66;1,000;;;27,90;0,250;;;109,90;1,400;;;125,80;1,500;322,26;4,150;;;;105,99;1,450;;;143,70;1,400;37,72;0,430;37,97;0,500;39,99;0,450;68,00;1,000;433,37;5,230;;;;76,00;1,000;;;68,00;1,000;;;;;;;;;144,00;2,000;;;;;;;;;;;;;;38,00;0,500;;;38,00;0,500;;;;;;;;;;36,99;0,250;;;;;;;36,99;0,250;;;;;;;;;;;;31,81;0,500;;;94,89;0,880;126,70;1,380;;;;61,60;0,900;;;37,48;0,500;;;38,00;0,500;;;43,00;0,500;180,08;2,400;;;;35,90;0,450;;;;;;;;;;;129,00;1,500;164,90;1,950;;5 912,65;83,190;
;Масло сливочное;;;;;;;115,00;0,200;;;224,18;0,400;;;;;;;115,00;0,200;454,18;0,800;;;;;;;;115,00;0,200;;;344,90;0,740;;;115,00;0,200;574,90;1,140;;;;;;;;;;;;345,00;0,600;;;;;345,00;0,600;;;;;;;;115,00;0,200;;;115,00;0,200;;;119,00;0,200;349,00;0,600;;;;119,00;0,200;;;119,00;0,200;;;119,00;0,200;;;119,00;0,200;476,00;0,800;;;;101,42;0,200;;;108,50;0,200;;;119,00;0,200;;;119,00;0,200;447,92;0,800;;;;117,00;0,200;;;93,19;0,200;;;119,00;0,200;119,00;0,200;119,00;0,200;567,19;1,000;;;;119,00;0,200;;;;;119,00;0,200;76,23;0,200;;;119,00;0,200;433,23;0,800;;121,99;0,180;238,00;0,400;;;238,00;0,400;;;86,38;0,200;;;119,00;0,200;803,37;1,380;;;;118,96;0,200;;;96,81;0,200;;;119,00;0,200;;;119,00;0,200;453,77;0,800;;;;109,06;0,200;;;247,00;0,400;;;128,00;0,200;;;128,00;0,200;612,06;1,000;;;;128,00;0,200;;;128,00;0,200;111,54;0,180;125,91;0,200;;;384,00;0,600;877,45;1,380;;;;255,94;0,400;;;389,00;0,600;;;;;;;384,00;0,600;1 028,94;1,600;;;;78,74;0,400;;;266,00;0,400;;;;;138,00;0,200;149,99;0,180;632,73;1,180;;;;138,00;0,200;;;138,00;0,200;;;138,00;0,200;138,00;0,200;138,00;0,200;690,00;1,000;;;;138,00;0,200;;;535,00;0,800;;;115,55;0,200;;;276,00;0,400;1 064,55;1,600;;;;276,00;0,400;;;136,09;0,200;;;138,00;0,200;;;275,00;0,400;825,09;1,200;;;;274,00;0,400;;;137,00;0,200;;;59,07;0,200;;;137,00;0,200;607,07;1,000;;11 242,45;18,680;
;Молоко;;;;;;;197,80;3,330;;;212,52;3,930;;;170,90;3,000;;;131,48;2,430;712,70;12,690;;38,99;0,430;82,90;1,430;;;111,49;1,930;36,69;0,430;195,99;3,430;37,99;0,430;118,19;2,000;622,24;10,080;;37,99;0,430;35,19;0,430;37,99;0,430;107,80;1,860;;;126,00;2,000;;;65,99;1,000;410,96;6,150;;;;126,00;2,000;53,99;0,900;126,00;2,000;;;189,00;3,000;;;218,70;3,430;713,69;11,330;;;;189,90;3,000;38,99;0,430;230,80;3,330;38,99;0,430;235,90;3,430;;;206,08;2,860;940,66;13,480;;38,99;0,430;112,50;4,000;;;250,26;4,000;;;132,00;2,000;65,99;1,000;306,03;4,800;905,77;16,230;;;;254,29;3,900;36,65;0,430;361,04;5,430;;;234,90;3,430;;;252,98;3,830;1 139,86;17,020;;58,99;0,930;234,93;3,430;;;113,58;1,860;140,99;1,930;84,50;2,000;;;237,89;3,430;870,88;13,580;;39,99;0,430;196,90;3,000;39,99;0,430;103,90;1,430;58,98;1,000;126,72;1,860;37,20;0,430;271,98;3,860;875,66;12,440;;;;66,00;1,000;;;144,37;2,430;41,99;0,430;382,34;5,500;;;258,80;3,360;893,50;12,720;;;;268,88;3,930;;;201,92;3,000;;;209,90;3,000;69,99;0,930;176,90;2,430;927,59;13,290;;;;293,33;3,860;;;183,90;2,430;52,08;0,930;139,90;2,000;63,49;0,930;253,90;3,430;986,60;13,580;;;;223,00;3,000;;;223,00;3,000;;;266,80;3,360;134,70;1,290;267,90;3,430;1 115,40;14,080;;;;238,69;4,000;;;298,00;4,000;;;182,17;2,430;153,00;2,000;70,00;1,000;941,86;13,430;;;;203,90;3,000;;;210,00;3,000;;;215,00;3,000;;;282,55;4,360;911,45;13,360;;;;280,00;4,000;;;210,00;3,000;;;187,10;3,000;90,99;0,930;234,89;2,880;1 002,98;13,810;;42,90;0,430;228,79;3,430;;;208,00;3,000;;;186,49;2,430;107,48;1,130;195,99;2,430;969,65;12,850;;84,49;0,930;228,00;3,000;49,90;0,450;244,98;2,860;;;229,06;3,330;84,49;0,930;152,00;2,000;1 072,92;13,500;;16 014,37;233,620;
;Молочный коктейль;;;;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;43,00;0,500;;;;;43,00;0,500;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;43,00;0,500;
;Простокваша;;;;;;;36,00;0,500;;;34,18;0,500;;;36,00;0,500;;;36,00;0,500;142,18;2,000;;;;;;;;;;;;;;;;36,00;0,500;36,00;0,500;;;;36,00;0,500;;;;;;;;;;;;;36,00;0,500;;;;;;;;36,00;0,500;;;36,00;0,500;;;43,00;0,500;115,00;1,500;;;;43,00;0,500;;;;;;;;;;;;;43,00;0,500;;;;52,72;0,900;;;43,00;0,500;;;43,00;0,500;;;;;138,72;1,900;;;;;;;;77,25;1,000;;;;;;;43,00;0,500;120,25;1,500;;;;43,00;0,500;;;;;43,00;0,500;27,55;0,500;;;43,00;0,500;156,55;2,000;;;;43,00;0,500;;;43,00;0,500;;;31,17;0,500;;;;;117,17;1,500;;;;;;;;34,98;0,500;;;43,00;0,500;;;;;77,98;1,000;;;;43,00;0,500;;;43,00;0,500;;;59,90;0,400;;;;;145,90;1,400;;;;;;;;61,80;0,500;;;45,96;0,500;;;46,00;0,500;153,76;1,500;;;;92,00;1,000;;;46,00;0,500;;;46,00;0,500;;;;;184,00;2,000;;;;60,26;1,000;;;;;;;;;46,00;0,500;46,00;0,500;152,26;2,000;;;;;;;;46,00;0,500;;;;;;;;;46,00;0,500;;;;35,90;0,200;;;;;;;;;;;;;35,90;0,200;;;;;;;;147,00;0,800;;;;;;;94,90;0,800;241,90;1,600;;;;52,00;0,500;;;52,00;0,500;;;;;;;52,00;0,500;156,00;1,500;;2 098,57;23,600;
